hist_id,slice,side,part ID,structure,area,psa_ncam
6377,7,p,,CA4 pyr,21132,11.222
6377,7,p,,DG PL hilus,26106,11.179
6377,7,p,,DG-ML,24878,11.768
6377,8,l,,CA1 SLM,14633,13.47
6377,8,l,,CA4 pyr,11703,12.113
6377,8,l,,DG PL hilus,41368,12.462
6377,8,l,,DG-ML,22201,13.894
6377,8,p,,CA1 SLM,15804,14.176
6377,8,p,,CA4 pyr,10377,11.732
6377,8,p,,DG PL hilus,21538,13.039
6377,8,p,,DG-ML,16956,12.754
6377,9,l,,CA1 SLM,9995,14.106
6377,9,l,,CA4 pyr,X,X
6377,9,l,,DG PL hilus,26241,12.455
6377,9,l,,DG-ML,7532,13.553
6377,9,p,,CA1 SLM,41668,12.434
6377,9,p,,CA4 pyr,12871,11.905
6377,9,p,,DG PL hilus,55751,14.928
6377,9,p,,DG-ML,17895,12.776
6377,10,l,,CA1 SLM,21633,14.493
6377,10,l,,CA4 pyr,9207,12.176
6377,10,l,,DG PL hilus,429567,11.939
6377,10,l,,DG-ML,16106,12.693
6377,10,p,,CA1 SLM,5185,12.295
6377,10,p,,CA4 pyr,X,X
6377,10,p,,DG PL hilus,X,X
6377,10,p,,DG-ML,14336,11.728
6377,11,l,,CA1 SLM,X,X
6377,11,l,,CA4 pyr,X,X
6377,11,l,,DG PL hilus,X,X
6377,11,l,,DG-ML,X,X
6377,11,p,,CA1 SLM,10535,13.453
6377,11,p,,CA4 pyr,8025,12.266
6377,11,p,,DG PL hilus,34666,13.383
6377,11,p,,DG-ML,16957,11.345
6377,12,l,,CA1 SLM,X,X
6377,12,l,,CA4 pyr,X,X
6377,12,l,,DG PL hilus,X,X
6377,12,l,,DG-ML,X,X
6377,12,p,,CA1 SLM,9234,12.113
6377,12,p,,CA4 pyr,11290,12.721
6377,12,p,,DG PL hilus,27917,12.633
6377,12,p,,DG-ML,17701,12.559
6377,16 - control,l,,CA1 SLM,10659,11.069
6377,16 - control,l,,CA4 pyr,1995,9.199
6377,16 - control,l,,DG PL hilus,6409,10.649
6377,16 - control,l,,DG-ML,19563,10.832
6377,16 - control,p,,CA1 SLM,11063,13.643
6377,16 - control,p,,CA4 pyr,7819,10.47
6377,16 - control,p,,DG PL hilus,4854,12.385
6377,16 - control,p,,DG-ML,7892,13.24
6378,1,l,,CA1 SLM,X,X
6378,1,l,,CA4 pyr,X,X
6378,1,l,,DG PL hilus,X,X
6378,1,l,,DG-ML,21518,24.761
6378,1,p,,CA1 SLM,,
6378,1,p,,CA4 pyr,,
6378,1,p,,DG PL hilus,2311,20.691
6378,1,p,,DG-ML,15102,23.683
6378,2,l,,CA1 SLM,X,X
6378,2,l,,CA4 pyr,5156,16.41
6378,2,l,,DG PL hilus,2673,18.208
6378,2,l,,DG-ML,X,X
6378,2,p,,CA1 SLM,X,X
6378,2,p,,CA4 pyr,X,X
